date,CR-V22-High-Vis-Yellow-5XL,CR-V22-High-Vis-Yellow-3XL,CR-V22-High-Vis-Yellow-2XL,CR-V22-High-Vis-Yellow-XL,CR-V22-High-Vis-Yellow-L,CR-V22-High-Vis-Yellow-M,CR-V22-High-Vis-Yellow-S,CR-V22-High-Vis-Yellow-XS
1/12/2021,0,0,0,0,0,0,0,0
2/12/2021,0,0,0,0,0,0,0,0
3/12/2021,0,0,0,0,0,0,0,0
4/12/2021,0,0,0,0,0,0,0,0
5/12/2021,0,0,0,0,0,0,0,0
6/12/2021,0,0,0,0,0,0,0,0
7/12/2021,0,0,0,0,0,0,0,0
8/12/2021,0,0,0,0,0,0,0,0
9/12/2021,0,0,0,0,0,0,0,0
10/12/2021,0,0,0,0,0,0,0,0
11/12/2021,0,0,0,0,0,0,0,0
12/12/2021,0,0,0,0,0,0,0,0
13/12/2021,0,0,0,0,0,0,0,0
14/12/2021,0,0,0,0,0,0,0,0
15/12/2021,0,0,0,0,0,0,0,0
16/12/2021,0,0,0,0,0,0,0,0
17/12/2021,0,0,0,0,0,0,0,0
18/12/2021,0,0,0,0,0,0,0,0
19/12/2021,0,0,0,0,0,0,0,0
20/12/2021,0,0,0,0,0,0,0,0
21/12/2021,0,0,0,0,0,0,0,0
22/12/2021,0,0,0,0,0,0,0,0
23/12/2021,0,0,0,0,0,0,0,0
24/12/2021,0,0,0,0,0,0,0,0
25/12/2021,0,0,0,0,0,0,0,0
26/12/2021,0,0,0,0,0,0,0,0
27/12/2021,0,0,0,0,0,0,0,0
28/12/2021,0,0,0,0,0,0,0,0
29/12/2021,0,0,0,0,0,0,0,0
30/12/2021,0,0,0,0,0,0,0,0
31/12/2021,0,0,0,0,0,0,0,0
1/01/2022,0,0,0,0,0,0,0,0
2/01/2022,0,0,0,0,0,0,0,0
3/01/2022,0,0,0,0,0,0,0,0
4/01/2022,0,0,0,0,0,0,0,0
5/01/2022,0,0,0,0,0,0,0,0
6/01/2022,0,0,0,0,0,0,0,0
7/01/2022,0,0,0,0,0,0,0,0
8/01/2022,0,0,0,0,0,0,0,0
9/01/2022,0,0,0,0,0,0,0,0
10/01/2022,0,0,0,0,0,0,0,0
11/01/2022,0,0,0,0,0,0,0,0
12/01/2022,0,0,0,0,0,0,0,0
13/01/2022,0,0,0,0,0,0,0,0
14/01/2022,0,0,0,0,0,0,0,0
15/01/2022,0,0,0,0,0,0,0,0
16/01/2022,0,0,0,0,0,0,0,0
17/01/2022,0,0,0,0,0,0,0,0
18/01/2022,0,0,0,0,0,0,0,0
19/01/2022,0,0,0,0,0,0,0,0
20/01/2022,0,0,0,0,0,0,0,0
21/01/2022,0,0,0,0,0,0,0,0
22/01/2022,0,0,0,0,0,0,0,0
23/01/2022,0,0,0,0,0,0,0,0
24/01/2022,0,0,0,0,0,0,0,0
25/01/2022,0,0,0,0,0,0,0,0
26/01/2022,0,0,0,0,0,0,0,0
27/01/2022,0,0,0,0,0,0,0,0
28/01/2022,0,0,0,0,0,0,0,0
29/01/2022,0,0,0,0,0,0,0,0
30/01/2022,0,0,0,0,0,0,0,0
31/01/2022,0,0,0,0,0,0,0,0
1/02/2022,0,0,0,0,0,0,0,0
2/02/2022,0,0,0,0,0,0,0,0
3/02/2022,0,0,0,0,0,0,0,0
4/02/2022,0,0,0,0,0,0,0,0
5/02/2022,0,0,0,0,0,0,0,0
6/02/2022,0,0,0,0,0,0,0,0
7/02/2022,0,0,0,0,0,0,0,0
8/02/2022,0,0,0,0,0,0,0,0
9/02/2022,0,0,0,0,0,0,0,0
10/02/2022,0,0,0,0,0,0,0,0
11/02/2022,0,0,0,0,0,0,0,0
12/02/2022,0,0,0,0,0,0,0,0
13/02/2022,0,0,0,0,0,0,0,0
14/02/2022,0,0,0,0,0,0,0,0
15/02/2022,0,0,0,0,0,0,0,0
16/02/2022,0,0,0,0,0,0,0,0
17/02/2022,0,0,0,0,0,0,0,0
18/02/2022,0,0,0,0,0,0,0,0
19/02/2022,0,0,0,0,0,0,0,0
20/02/2022,0,0,0,0,0,0,0,0
21/02/2022,0,0,0,0,0,0,0,0
22/02/2022,0,0,0,0,0,0,0,0
23/02/2022,0,0,0,0,0,0,0,0
24/02/2022,0,0,0,0,0,0,0,0
25/02/2022,0,0,0,0,0,0,0,0
26/02/2022,0,0,0,0,0,0,0,0
27/02/2022,0,0,0,0,0,0,0,0
28/02/2022,0,0,0,0,0,0,0,0
1/03/2022,0,0,0,0,0,0,0,0
2/03/2022,0,0,0,0,0,0,0,0
3/03/2022,0,0,0,0,0,0,0,0
4/03/2022,0,0,0,0,0,0,0,0
5/03/2022,0,0,0,0,0,0,0,0
6/03/2022,0,0,0,0,0,0,0,0
7/03/2022,0,0,0,0,0,0,0,0
8/03/2022,0,0,0,0,0,0,0,0
9/03/2022,0,0,0,0,0,0,0,0
10/03/2022,0,0,0,0,0,0,0,0
11/03/2022,0,0,0,0,0,0,0,0
12/03/2022,0,0,0,0,0,0,0,0
13/03/2022,0,0,0,0,0,0,0,0
14/03/2022,0,0,0,0,0,0,0,0
15/03/2022,0,0,0,0,0,0,0,0
16/03/2022,0,0,0,0,0,0,0,0
17/03/2022,0,0,0,0,0,0,0,0
18/03/2022,0,0,0,0,0,0,0,0
19/03/2022,0,0,0,0,0,0,0,0
20/03/2022,0,0,0,0,0,0,0,0
21/03/2022,0,0,0,0,0,0,0,0
22/03/2022,0,0,0,0,0,0,0,0
23/03/2022,0,0,0,0,0,0,0,0
24/03/2022,0,0,0,0,0,0,0,0
25/03/2022,0,0,0,0,0,0,0,0
26/03/2022,0,0,0,0,0,0,0,0
27/03/2022,0,0,0,0,0,0,0,0
28/03/2022,0,0,0,0,0,0,0,0
29/03/2022,0,0,0,0,0,0,0,0
30/03/2022,0,0,0,0,0,0,0,0
31/03/2022,0,0,0,0,0,0,0,0
1/04/2022,0,0,0,0,0,0,0,0
2/04/2022,0,0,0,0,0,0,0,0
3/04/2022,0,0,0,0,0,0,0,0
4/04/2022,0,0,0,0,0,0,0,0
5/04/2022,0,0,0,0,0,0,0,0
6/04/2022,0,0,0,0,0,0,0,0
7/04/2022,0,0,0,0,0,0,0,0
8/04/2022,0,0,0,0,0,0,0,0
9/04/2022,0,0,0,0,0,0,0,0
10/04/2022,0,0,0,0,0,0,0,0
11/04/2022,0,0,0,0,0,0,0,0
12/04/2022,0,0,0,0,0,0,0,0
13/04/2022,0,0,0,0,0,0,0,0
14/04/2022,0,0,0,0,0,0,0,0
15/04/2022,0,0,0,0,0,0,0,0
16/04/2022,0,0,0,0,0,0,0,0
17/04/2022,0,0,0,0,0,0,0,0
18/04/2022,0,0,0,0,0,0,0,0
19/04/2022,0,0,0,0,0,0,0,0
20/04/2022,0,0,0,0,0,0,0,0
21/04/2022,0,0,0,0,0,0,0,0
22/04/2022,0,0,0,0,0,0,0,0
23/04/2022,0,0,0,0,0,0,0,0
24/04/2022,0,0,0,0,0,0,0,0
25/04/2022,0,0,0,0,0,0,0,0
26/04/2022,0,0,0,0,0,0,0,0
27/04/2022,0,0,0,0,0,0,0,0
28/04/2022,0,0,0,0,0,0,0,0
29/04/2022,0,0,0,0,0,0,0,0
30/04/2022,0,0,0,0,0,0,0,0
1/05/2022,0,0,0,0,0,0,0,0
2/05/2022,0,0,0,0,0,0,0,0
3/05/2022,0,0,0,0,0,0,0,0
4/05/2022,0,0,0,0,0,0,0,0
5/05/2022,0,0,0,0,0,0,0,0
6/05/2022,0,0,0,0,0,0,0,0
7/05/2022,0,0,0,0,0,0,0,0
8/05/2022,0,0,0,0,0,0,0,0
9/05/2022,0,0,0,0,0,0,0,0
10/05/2022,0,0,0,0,0,0,0,0
11/05/2022,0,0,0,0,0,0,0,0
