date,CR-V32-High-Vis-Yellow-7XL,CR-V32-High-Vis-Yellow-5XL,CR-V32-High-Vis-Yellow-3XL,CR-V32-High-Vis-Yellow-2XL,CR-V32-High-Vis-Yellow-XL,CR-V32-High-Vis-Yellow-L,CR-V32-High-Vis-Yellow-M,CR-V32-High-Vis-Yellow-S,CR-V32-High-Vis-Yellow-XS
01/12/2021,0,0,0,0,0,0,0,0,0
02/12/2021,0,0,0,0,0,0,0,0,0
03/12/2021,0,0,0,0,0,0,0,0,0
04/12/2021,0,0,0,0,0,0,0,0,0
05/12/2021,0,0,0,0,0,0,0,0,0
06/12/2021,0,0,0,0,0,0,0,0,0
07/12/2021,0,0,0,0,0,0,0,0,0
08/12/2021,0,0,0,0,0,0,0,0,0
09/12/2021,0,0,0,0,0,0,0,0,0
10/12/2021,0,0,0,0,0,0,0,0,0
11/12/2021,0,0,0,0,0,0,0,0,0
12/12/2021,0,0,0,0,0,0,0,0,0
13/12/2021,0,0,0,0,0,0,0,0,0
14/12/2021,0,0,0,0,0,0,0,0,0
15/12/2021,0,0,0,0,0,0,0,0,0
16/12/2021,0,0,0,0,0,0,0,0,0
17/12/2021,0,0,0,0,0,0,0,0,0
18/12/2021,0,0,0,0,0,0,0,0,0
19/12/2021,0,0,0,0,0,0,0,0,0
20/12/2021,0,0,0,0,0,0,0,0,0
21/12/2021,0,0,0,0,0,0,0,0,0
22/12/2021,0,0,0,0,0,0,0,0,0
23/12/2021,0,0,0,0,0,0,0,0,0
24/12/2021,0,0,0,0,0,0,0,0,0
25/12/2021,0,0,0,0,0,0,0,0,0
26/12/2021,0,0,0,0,0,0,0,0,0
27/12/2021,0,0,0,0,0,0,0,0,0
28/12/2021,0,0,0,0,0,0,0,0,0
29/12/2021,0,0,0,0,0,0,0,0,0
30/12/2021,0,0,0,0,0,0,0,0,0
31/12/2021,0,0,0,0,0,0,0,0,0
01/01/2022,0,0,0,0,0,0,0,0,0
02/01/2022,0,0,0,0,0,0,0,0,0
03/01/2022,0,0,0,0,0,0,0,0,0
04/01/2022,0,0,0,0,0,0,0,0,0
05/01/2022,0,0,0,0,0,0,0,0,0
06/01/2022,0,0,0,0,0,0,0,0,0
07/01/2022,0,0,0,0,0,0,0,0,0
08/01/2022,0,0,0,0,0,0,0,0,0
09/01/2022,0,0,0,0,0,0,0,0,0
10/01/2022,0,0,0,0,0,0,0,0,0
11/01/2022,0,0,0,0,0,0,0,0,0
12/01/2022,0,0,0,0,0,0,0,0,0
13/01/2022,0,0,0,0,0,0,0,0,0
14/01/2022,0,0,0,0,0,0,0,0,0
15/01/2022,0,0,0,0,0,0,0,0,0
16/01/2022,0,0,0,0,0,0,0,0,0
17/01/2022,0,0,0,0,0,0,0,0,0
